,word,neg_adj_count,pos_adj_count
238,pots,1.0,1.0
239,reasonable,368.0,457.0
240,future,78.0,119.0
241,like,173.0,98.0
242,re-done,1.0,1.0
243,soda,10.0,3.0
244,giant,27.0,23.0
245,self-park,16.0,6.0
246,a-c,137.0,29.0
247,bench,11.0,3.0
248,multi-station,1.0,
249,physician,4.0,
250,follow,38.0,8.0
251,elite,16.0,7.0
252,middle,282.0,238.0
253,loud,656.0,195.0
254,wire,1.0,
255,sleep,590.0,223.0
256,ridiculous,150.0,35.0
257,puddle,10.0,
258,commenced,1.0,
259,right,917.0,1137.0
260,incident,24.0,8.0
261,mat,3.0,1.0
262,wet,55.0,30.0
263,dry,97.0,40.0
264,lucky,120.0,106.0
265,severe,21.0,6.0
266,proactive,4.0,3.0
267,successful,13.0,8.0
268,saracastic,1.0,
269,sarcastic,7.0,1.0
270,snobbish,3.0,1.0
271,brand-new,1.0,4.0
272,it-,5.0,2.0
273,particuarly,2.0,1.0
274,guest,440.0,256.0
275,furious,29.0,3.0
276,terrible,534.0,52.0
277,rundown,29.0,3.0
278,overpriced,47.0,21.0
279,doorman,43.0,50.0
280,housekeeper,22.0,6.0
281,asked,98.0,24.0
282,rude,221.0,29.0
283,guy,48.0,10.0
284,wall,142.0,29.0
285,springy,4.0,
286,gross,144.0,10.0
287,switched,13.0,2.0
288,different,795.0,523.0
289,safe,588.0,709.0
290,larger,248.0,241.0
291,spooky,3.0,
292,central,295.0,417.0
293,stuff,47.0,22.0
294,stylish,42.0,94.0
295,design,3.0,4.0
296,wallpaper,28.0,5.0
297,torn,41.0,1.0
298,automatic,23.0,13.0
299,outdated,73.0,11.0
300,hear,441.0,219.0
301,thought,102.0,63.0
302,recommend,121.0,425.0
303,worst,561.0,40.0
304,quick,273.0,421.0
305,noticed,85.0,25.0
306,new,1231.0,973.0
307,complain,26.0,10.0
308,trust,7.0,2.0
309,upscale,73.0,137.0
310,upstairs,63.0,26.0
311,non-guests,1.0,
312,non-smoking,228.0,38.0
313,musty,92.0,8.0
314,continental,262.0,275.0
315,older,310.0,216.0
316,update,57.0,22.0
317,wrong,393.0,141.0
318,noise,156.0,123.0
319,prime,60.0,50.0
320,closest,50.0,30.0
321,equal,22.0,12.0
322,frequent,84.0,58.0
323,solid,52.0,39.0
324,luck.i,1.0,
325,read,139.0,105.0
326,enough,504.0,414.0
327,rated,3.0,1.0
328,exact,35.0,15.0
329,upgraded,123.0,156.0
330,queen,237.0,200.0
331,twin-and-a-half,1.0,
332,understand,88.0,22.0
333,lounge,19.0,22.0
334,unecessary,1.0,2.0
335,laptop,80.0,67.0
336,pulled,27.0,8.0
337,foot,38.0,17.0
338,squeeze,4.0,4.0
339,huge,479.0,708.0
340,turn,11.0,9.0
341,angle,3.0,1.0
342,star,244.0,81.0
343,plasma,10.0,14.0
344,full-sized,9.0,8.0
345,fantastic,282.0,799.0
346,noisy,401.0,238.0
347,flush,44.0,7.0
348,stronger,5.0,1.0
349,reliable,40.0,33.0
350,live,155.0,138.0
351,fancy,114.0,102.0
352,roadside,5.0,
353,funky,13.0,34.0
354,welcome,106.0,247.0
355,thankful,12.0,13.0
356,foul,9.0,1.0
357,suffocate,1.0,
358,fluid,3.0,
359,degree,23.0,9.0
360,clear,196.0,73.0
361,unfortunate,46.0,11.0
362,inexpensive,76.0,66.0
363,stench,13.0,
364,nonchalant,2.0,1.0
365,gracious,32.0,73.0
366,hospitable,14.0,26.0
367,manual,12.0,2.0
368,prompt,24.0,61.0
369,reflection,4.0,2.0
370,shady,39.0,11.0
371,drain,8.0,
372,electrical,58.0,32.0
373,eastern,7.0,10.0
374,wide,85.0,81.0
375,online,119.0,57.0
376,bus,37.0,47.0
377,comfy,59.0,136.0
378,tour,50.0,88.0
379,guide,11.0,5.0
380,bowl,2.0,1.0
381,popular,60.0,90.0
382,tours,3.0,2.0
383,interested,114.0,57.0
384,dont,71.0,24.0
385,uncomfortable,381.0,56.0
386,serious,164.0,34.0
387,outdoor,67.0,108.0
388,remote,37.0,10.0
389,filthy,192.0,3.0
390,travel,66.0,52.0
391,picky,64.0,52.0
392,extras,14.0,12.0
393,food-bar,2.0,
394,expensive,718.0,660.0
395,disappointed,472.0,151.0
396,biggest,181.0,97.0
397,advertised,45.0,14.0
398,attempt,14.0,2.0
399,aware,169.0,70.0
400,expected,19.0,7.0
401,ny,3.0,14.0
402,mess,17.0,1.0
403,square,93.0,146.0
404,basic,422.0,162.0
405,thanked,3.0,4.0
406,serving,1.0,
407,luxury,20.0,15.0
408,.it,9.0,6.0
409,guess,104.0,36.0
410,reduced,9.0,1.0
411,flat,281.0,401.0
412,kitchen-area,1.0,
413,adequate,157.0,174.0
414,-decent,1.0,
415,granite,11.0,19.0
416,indelible,1.0,
417,everyday,61.0,57.0
418,unclean,38.0,1.0
419,flea-bitten,1.0,
420,off-putting,9.0,2.0
421,peak,17.0,10.0
422,understandable,28.0,10.0
423,inexcusable,10.0,
424,-the,17.0,17.0
425,-not,3.0,
426,is,1.0,1.0
427,monitor,1.0,
428,taxi,58.0,61.0
429,ideal,51.0,87.0
430,happen,31.0,14.0
431,tub,100.0,78.0
432,tubs,4.0,5.0
433,buffet,59.0,69.0
434,surprised,105.0,108.0
435,arrival,201.0,183.0
436,polite,121.0,180.0
437,magnified,1.0,1.0
438,down,42.0,29.0
439,adjoining,3.0,4.0
440,occupied,12.0,11.0
441,audible,26.0,5.0
442,arrive,150.0,85.0
443,neighbouring,2.0,
444,in-out,21.0,21.0
445,apparent,36.0,9.0
446,mid,31.0,15.0
447,restful,20.0,21.0
448,transatlantic,6.0,3.0
449,disappointing,189.0,50.0
450,couch,132.0,115.0
451,embassy,8.0,10.0
452,wait,124.0,80.0
453,single,311.0,222.0
454,local,284.0,318.0
455,japanese,22.0,50.0
456,care,7.0,16.0
457,further,3.0,
458,bag,45.0,19.0
459,inaccurate,3.0,
460,common,182.0,122.0
461,lacked,9.0,1.0
462,hungry,29.0,28.0
463,unable,160.0,30.0
464,neutral,18.0,8.0
465,attest,1.0,2.0
466,rotted,1.0,
467,long,557.0,415.0
468,beautiful,369.0,867.0
469,pm,213.0,102.0
470,potential,52.0,13.0
471,broken,261.0,14.0
472,french,58.0,124.0
473,funeral,15.0,12.0
474,dad,5.0,3.0
475,assigned,26.0,6.0
476,unpleasant,100.0,19.0
477,clerk,29.0,8.0
478,-th,197.0,250.0
479,moldy,21.0,2.0
480,elevator,75.0,38.0
481,correct,54.0,15.0
482,in-room,68.0,53.0
483,make-your-own,6.0,2.0
484,driving-,1.0,
485,on-site,32.0,27.0
486,cafe,69.0,89.0
487,screen,118.0,219.0
488,door,280.0,180.0
489,unlucky,18.0,7.0
490,nearby,259.0,302.0
491,major,400.0,288.0
492,hospital,13.0,7.0
493,regardless,10.0,3.0
494,intercontinental,9.0,4.0
495,ear,37.0,23.0
496,preferable,8.0,
497,minute,184.0,225.0
498,furniture,18.0,4.0
499,warm,231.0,319.0
500,unkempt,3.0,1.0
501,unwelcoming,8.0,1.0
502,par,37.0,19.0
503,low,348.0,174.0
504,sink,20.0,6.0
505,meh,2.0,
506,super,110.0,233.0
507,attend,14.0,7.0
508,bags,39.0,30.0
509,red-eye,6.0,4.0
510,problematic,17.0,7.0
511,coming,18.0,12.0
512,service,26.0,18.0
513,mental,8.0,1.0
514,funny,67.0,24.0
515,horrid,17.0,
516,pineapple,4.0,5.0
517,sour,27.0,5.0
518,salsa,2.0,4.0
519,actual,112.0,47.0
520,pine,1.0,
521,turndown,8.0,29.0
522,fitness,28.0,30.0
523,type,106.0,51.0
524,apologized,14.0,3.0
525,affordable,89.0,158.0
526,happy,460.0,776.0
527,safer-cleaner,1.0,
528,towels-not,1.0,
529,wash,35.0,15.0
530,pillow,86.0,45.0
531,linen,22.0,16.0
532,trashy,7.0,
533,overgrown,3.0,
534,exterior,51.0,16.0
535,wobbly,1.0,
536,pair,6.0,3.0
537,w-a,2.0,7.0
538,inadequate,39.0,5.0
539,numerous,141.0,93.0
540,rusty,21.0,
541,bad-looking,1.0,
542,concerned,83.0,69.0
543,write,101.0,31.0
544,out-clean,1.0,
545,please,21.0,10.0
546,wi-fi,122.0,138.0
547,thin,362.0,98.0
548,priceline,30.0,20.0
549,theatre,17.0,29.0
550,tool,1.0,
551,visual,6.0,4.0
552,deep,60.0,65.0
553,shorter,6.0,4.0
554,tooth,3.0,1.0
555,dive,17.0,7.0
556,mini,37.0,44.0
557,bellman,42.0,23.0
558,attractive,80.0,110.0
559,well-maintained,15.0,25.0
560,self-parking,19.0,11.0
561,navigate,18.0,12.0
562,sharp,26.0,11.0
563,generous,38.0,70.0
564,upper,79.0,100.0
565,well-dressed,1.0,
566,youth-oriented,1.0,
567,unacceptable,113.0,11.0
568,worse,269.0,27.0
569,unobtrusive,3.0,12.0
570,high-floor,1.0,
571,several,39.0,24.0
572,suppose,52.0,20.0
573,viable,3.0,1.0
574,excessive,30.0,16.0
575,decent,496.0,289.0
576,excels,1.0,
577,marvelous,7.0,18.0
578,cascade,1.0,
579,palm,2.0,3.0
580,shade,5.0,3.0
581,create,2.0,
582,cleaner,65.0,23.0
583,daily,148.0,171.0
584,dust,29.0,6.0
585,calm,9.0,22.0
586,restaurant,206.0,272.0
587,stayed,658.0,500.0
588,mattress,52.0,27.0
589,soft,149.0,204.0
590,other,229.0,191.0
591,personal,174.0,171.0
592,asthmatic,6.0,
593,explain,13.0,2.0
594,toilet,36.0,6.0
595,urine,42.0,1.0
596,worried,31.0,61.0
597,key,342.0,124.0
598,adjacent,110.0,119.0
599,tiny-,1.0,1.0
600,impossible,163.0,30.0
601,adjust,19.0,8.0
602,feeble,2.0,
603,flow,9.0,6.0
604,reset,3.0,1.0
605,european,58.0,86.0
606,nervous,42.0,51.0
607,non-refundable,10.0,7.0
608,adorable,2.0,10.0
609,suitable,39.0,27.0
610,functional,78.0,85.0
611,awful,228.0,34.0
612,retouched,1.0,
613,likely,99.0,53.0
614,touch-up,2.0,1.0
615,smaller,259.0,217.0
616,massive,56.0,60.0
617,amazing,82.0,305.0
618,plush,14.0,27.0
619,memorable,38.0,92.0
620,crowds,4.0,11.0
621,furnished,13.0,45.0
622,people-watching,1.0,4.0
623,flustered,3.0,
624,flee,1.0,
625,glance,2.0,
626,stray,5.0,1.0
627,cabinet,4.0,1.0
628,noisier,5.0,4.0
629,child,18.0,9.0
630,intriguing,2.0,
631,robotic,6.0,5.0
632,concept,3.0,1.0
633,sorry,96.0,17.0
634,woken,28.0,4.0
635,saftely,1.0,
636,ultra,8.0,21.0
637,.well..,1.0,
638,chose,86.0,87.0
639,decorated,8.0,10.0
640,truth,3.0,
641,lot,74.0,48.0
642,nicer,124.0,41.0
643,anticipated,5.0,6.0
644,upset,85.0,15.0
645,advance,14.0,4.0
646,corner,30.0,40.0
647,teh,8.0,5.0
648,attentive,93.0,272.0
649,friend,25.0,11.0
650,bay,16.0,28.0
651,arrived,143.0,72.0
652,card,54.0,23.0
653,blow,4.0,
654,unaware,12.0,7.0
655,incidental,15.0,1.0
656,puzzled,3.0,
657,*sigh*,1.0,
658,electronic,25.0,27.0
659,gold,15.0,9.0
660,change,35.0,3.0
661,private,106.0,154.0
662,gigantic,8.0,14.0
663,important,200.0,195.0
664,bustle,11.0,40.0
665,lounge-bar,2.0,3.0
666,apologetic,84.0,28.0
667,queen-sized,9.0,3.0
668,drove,9.0,3.0
669,easier,39.0,48.0
670,beds-pillows,2.0,1.0
671,staying,22.0,22.0
672,ok,118.0,42.0
673,much,29.0,21.0
674,choose,116.0,71.0
675,tripadvisor,8.0,2.0
676,slimy,4.0,
677,hold,20.0,11.0
678,password,1.0,1.0
679,complete,179.0,139.0
680,evidenced,1.0,
681,dusty,67.0,7.0
682,upgrades,14.0,6.0
683,king,17.0,4.0
684,keys,4.0,1.0
685,pre-pay,1.0,1.0
686,inadaquete,1.0,
687,normal,210.0,137.0
688,distinctive,7.0,3.0
689,walked,104.0,46.0
690,hostess,4.0,1.0
691,multiple,125.0,66.0
692,run-jog,1.0,
693,game-winnning,1.0,
694,beat,26.0,37.0
695,dark,355.0,114.0
696,dependent,10.0,2.0
697,high-speed,17.0,12.0
698,level,71.0,29.0
699,dated,175.0,85.0
700,scratty,1.0,
701,robes,8.0,11.0
702,contenental,2.0,
703,handy,63.0,146.0
704,cruise,6.0,10.0
705,hallway,35.0,10.0
706,sticky,56.0,7.0
707,yellow-,1.0,
708,brown,55.0,7.0
709,visible,64.0,16.0
710,regular,200.0,168.0
711,dinner,21.0,41.0
712,so-so,23.0,13.0
713,customary,3.0,
714,alcoholic,10.0,9.0
715,heard,32.0,11.0
716,alley-,1.0,
717,disposal,2.0,1.0
718,loading-,1.0,
719,complained,16.0,3.0
720,nasty,133.0,13.0
721,non-stained,1.0,
722,crappy,34.0,14.0
723,rap,1.0,
724,sexual,4.0,
725,final,118.0,38.0
726,absolute,17.0,19.0
727,drab,9.0,1.0
728,desperate,58.0,11.0
729,spare,28.0,16.0
730,conditioner,7.0,2.0
731,dim,21.0,7.0
732,lobby,116.0,82.0
733,atmosphere,28.0,61.0
734,next,133.0,62.0
735,splurge,4.0,2.0
736,easy-going,2.0,1.0
737,file,8.0,1.0
738,conversation,4.0,
739,individual,37.0,32.0
740,allow,50.0,21.0
741,medical,56.0,39.0
742,injured,2.0,1.0
743,cancel,37.0,10.0
744,refund,23.0,
745,cool,217.0,227.0
746,finish,55.0,31.0
747,allergic,22.0,15.0
748,girl,35.0,7.0
749,mulling,1.0,
750,afraid,61.0,19.0
751,so-called,21.0,3.0
752,bit,46.0,46.0
753,upside,30.0,4.0
754,walk,70.0,100.0
755,undergoing,18.0,16.0
756,suspect,26.0,9.0
757,full-on,3.0,2.0
758,mysterious,8.0,
759,toilet-bath,1.0,
760,btw,1.0,
761,open-shut,1.0,
762,accessible,90.0,117.0
763,-'-,8.0,3.0
764,waffles,2.0,
765,plain,7.0,
766,guidebooks,1.0,
767,ancient,22.0,1.0
768,opened,25.0,9.0
769,fourth,46.0,37.0
770,trash,43.0,7.0
771,guests,2.0,2.0
772,culinary,5.0,9.0
773,black,223.0,73.0
774,tile,25.0,9.0
775,sound,100.0,62.0
776,odor,11.0,3.0
777,loose,60.0,7.0
778,prior,67.0,37.0
779,uptown,13.0,41.0
780,x-mas,1.0,
781,let-down,4.0,3.0
782,romantic,71.0,102.0
783,lady,109.0,36.0
784,angel,2.0,1.0
785,brilliant,18.0,53.0
786,ordinary,51.0,22.0
787,rigid,2.0,1.0
788,process,11.0,4.0
789,friendliness,16.0,36.0
790,leisure,2.0,1.0
791,.not,8.0,2.0
792,understands,2.0,2.0
793,laughable,13.0,
794,cheap-charly,1.0,
795,eat,52.0,69.0
796,super-cheap,1.0,
797,unfriendly,57.0,5.0
798,exorbitant,18.0,7.0
799,lovely,51.0,95.0
800,meant-to-be,1.0,
801,check,28.0,10.0
802,obnoxious,22.0,8.0
803,seedy,17.0,8.0
804,wan,5.0,4.0
805,unstable,3.0,2.0
806,wheelchair,4.0,3.0
807,bulb,4.0,
808,lamp,34.0,5.0
809,religious,6.0,1.0
810,lie,10.0,4.0
811,stole,15.0,
812,switch,12.0,5.0
813,linens,14.0,7.0
814,email,61.0,26.0
815,valuable,29.0,16.0
816,provide,15.0,10.0
817,standardized,1.0,
818,appreciate,29.0,26.0
819,waited,49.0,9.0
820,unbathed,1.0,
821,street,39.0,41.0
822,gorgeous,70.0,200.0
823,agree,50.0,41.0
824,purchased,5.0,2.0
825,honest,57.0,33.0
826,quality,62.0,28.0
827,thrid,1.0,1.0
828,upsetting,14.0,2.0
829,firm,28.0,23.0
830,everyones,1.0,1.0
831,substandard,8.0,1.0
832,closed,28.0,17.0
833,non-functional,8.0,3.0
834,temp,7.0,4.0
835,highest,39.0,41.0
836,-rd,66.0,32.0
837,pizza,24.0,32.0
838,sp,1.0,
839,approximate,2.0,
840,map,12.0,19.0
841,fast,48.0,46.0
842,slice,2.0,4.0
843,claustrophobic,28.0,11.0
844,connected,8.0,3.0
845,non-stop,11.0,4.0
846,-night,94.0,56.0
847,meal,36.0,48.0
848,negative,219.0,332.0
849,agressive,5.0,3.0
850,commercial,17.0,20.0
851,midtown,28.0,59.0
852,balcony,23.0,32.0
853,unraveling,1.0,
854,portrayed,1.0,
855,concrete,35.0,6.0
856,vast,17.0,9.0
857,row,3.0,4.0
858,cozy,16.0,57.0
859,nicest,39.0,83.0
860,historic,97.0,152.0
861,crazy,66.0,54.0
862,spend,116.0,86.0
863,this-,2.0,
864,knowledgable,9.0,33.0
865,arrogant,32.0,3.0
866,avoid,101.0,39.0
867,journal,1.0,
868,invest,12.0,3.0
869,coast,3.0,1.0
870,skimpy,7.0,4.0
871,plus,49.0,16.0
872,shuttle,277.0,271.0
873,uncertain,3.0,1.0
874,unprofessional,93.0,6.0
875,-am,103.0,32.0
876,impression,12.0,5.0
877,horrible..i,1.0,
878,+tax,9.0,3.0
879,enjoyable,68.0,203.0
880,wierd,1.0,1.0
881,hotel,190.0,157.0
882,genuine,10.0,27.0
883,preferred,38.0,32.0
884,superior,64.0,68.0
885,updated,60.0,66.0
886,smack,3.0,
887,loyal,24.0,10.0
888,fabulous,116.0,319.0
889,overlook,6.0,2.0
890,intense,4.0,7.0
891,club-like,2.0,
892,spaceship,1.0,
893,crank,3.0,
894,techno,3.0,
895,hang,23.0,15.0
896,unreal,3.0,5.0
897,dream,1.0,1.0
898,peaceful,23.0,54.0
899,keen,4.0,11.0
900,pool,118.0,94.0
901,listed,12.0,2.0
902,false,39.0,5.0
903,usable,9.0,8.0
904,pipe,5.0,3.0
905,net,25.0,14.0
906,lukewarm,9.0,1.0
907,irresistable,1.0,
908,understood,15.0,6.0
909,attitude,34.0,19.0
910,overcome,9.0,
911,uninspired,9.0,2.0
912,heartbreak,4.0,
913,unenthusiastic,2.0,
914,unwelcome,7.0,1.0
915,tinier,3.0,
916,spectacular,67.0,128.0
917,device,3.0,2.0
918,reminiscent,9.0,2.0
919,pretentious,18.0,18.0
920,quoting,1.0,
921,suspicious,11.0,3.0
922,yucky,2.0,1.0
923,impressed,152.0,254.0
924,pretty,147.0,90.0
925,personable,30.0,48.0
926,rest,53.0,32.0
927,mediocre-,1.0,
928,fat,9.0,4.0
929,slept,75.0,53.0
930,casa-,1.0,
931,understanding,20.0,12.0
932,first-rate,1.0,7.0
933,well-kept,12.0,14.0
934,comparable,52.0,38.0
935,hotels-,4.0,
936,expect,91.0,58.0
937,unnecessary,28.0,10.0
938,appartment,3.0,2.0
939,strongest,7.0,2.0
940,pleasurable,5.0,12.0
941,hip,11.0,18.0
942,well-presented,3.0,1.0
943,hall,40.0,16.0
944,relative,15.0,22.0
945,accoutrement,1.0,
946,entry-exit,2.0,
947,malodorous,1.0,
948,summary,37.0,25.0
949,compliment,5.0,8.0
950,affable,3.0,1.0
951,nickel-and-diming,2.0,
952,disenchanted,1.0,
953,mid-level,5.0,1.0
954,glamorous,7.0,10.0
955,curious,12.0,8.0
956,make-up,11.0,11.0
957,gum,5.0,
958,stuck,61.0,15.0
959,send,35.0,7.0
960,tech,16.0,2.0
961,mixed,98.0,71.0
962,apprehensive,16.0,16.0
963,ornate,2.0,5.0
964,mj,1.0,
965,irish,15.0,27.0
966,host,3.0,1.0
967,locate,18.0,9.0
968,heated,6.0,13.0
969,awhile,12.0,9.0
970,turned,36.0,19.0
971,marginal,20.0,3.0
972,rough,51.0,15.0
973,fair,124.0,79.0
974,promising,4.0,1.0
975,showplace,1.0,
976,architecture,3.0,4.0
977,considerable,25.0,4.0
978,queen-bedded,1.0,
979,-.-night,1.0,
980,king-bedded,2.0,
981,bathtubs,2.0,
982,half-bathtub,1.0,
983,upright,3.0,
984,-.,10.0,3.0
985,unmade,9.0,
986,pouted,1.0,
987,flushed,5.0,
988,authentic,17.0,17.0
989,delight,3.0,8.0
990,non-service,1.0,
991,.-night,1.0,
992,french-milled,1.0,
993,penchant,1.0,2.0
994,independent,14.0,9.0
995,sofa,40.0,38.0
996,dest,10.0,2.0
997,smallish,15.0,34.0
998,min,64.0,73.0
999,no-frills,12.0,4.0
1000,noteworthy,6.0,1.0
1001,-.-,26.0,23.0
1002,nickle,4.0,1.0
1003,guaranteed,4.0,1.0
1004,blocked,3.0,1.0
1005,location,89.0,91.0
1006,ingrained,1.0,
1007,eager,15.0,54.0
1008,meanwhile,2.0,
1009,sat,22.0,13.0
1010,refused,13.0,2.0
1011,stairs,24.0,12.0
1012,tiresome,4.0,
1013,regard,2.0,1.0
1014,shallow,6.0,5.0
1015,drawers-,1.0,
1016,spread,11.0,6.0
1017,storage,6.0,6.0
1018,healthy,32.0,44.0
1019,prayed,2.0,
1020,sprayed,6.0,
1021,continuous,8.0,4.0
1022,over-run,1.0,
1023,western,59.0,43.0
1024,airfare,1.0,
1025,quirky,13.0,16.0
1026,artistic,3.0,7.0
1027,fluffy,14.0,18.0
1028,marble,55.0,73.0
1029,t.v.,2.0,1.0
1030,weak,60.0,22.0
1031,bring,57.0,26.0
1032,stored,4.0,3.0
1033,deluxe,40.0,38.0
1034,skirting,2.0,
1035,chaotic,19.0,11.0
1036,unpacked,15.0,6.0
1037,table,226.0,221.0
1038,rediculous,6.0,2.0
1039,consegier,1.0,
1040,lousy,40.0,11.0
1041,interstate,18.0,18.0
1042,place,58.0,42.0
1043,suspcious,1.0,
1044,cheese,63.0,141.0
1045,drive,68.0,78.0
