identifier_plus_noun,identifier_count,noun_count,phrase_count,PMI
comfortable sharing,3,0,1,0.0
little detail,23,2,1,8.961260938205132
complete lack,2,2,1,12.484822894262146
powdered milk,1,1,1,14.484822894262146
also undergoing,5,0,1,0.0
serious renovation,1,4,1,12.484822894262146
massive construction,2,7,1,10.677467972204541
large room,3,100,1,6.256004203766265
t enjoy,27,1,1,9.729935392098676
good cleaning,21,2,1,9.092505471483385
extra pillow,6,5,1,9.577932298653627
nice varpet,6,1,1,11.899860393540989
tea coffee,3,9,3,11.314897892819832
hot choco,9,1,1,11.314897892819832
slow ask,3,1,1,12.899860393540989
table service,1,5,1,12.162894799374783
currently being,2,0,2,0.0
old building,9,7,3,10.092505471483385
initial room,1,100,1,7.840966704487421
long tiring,7,1,1,11.677467972204541
beautiful hotel,2,20,1,9.162894799374783
temporary wood,5,1,1,12.162894799374783
empty feel,5,2,1,11.162894799374783
inadequate drink,1,8,1,11.484822894262146
safe feeling,2,0,1,0.0
steep staircase,9,6,4,10.729935392098676
useful information,1,2,1,13.484822894262146
long wait,7,1,1,11.677467972204541
first room,25,100,6,5.782073015433853
freezing etc,1,2,1,13.484822894262146
last time,3,18,1,8.729935392098676
t change,27,3,2,9.14497289137752
horrible smell,4,9,3,10.89986039354099
even allowing,3,0,1,0.0
major renovation,8,4,2,10.484822894262146
possible toiletries,2,1,1,13.484822894262146
previous guest,5,9,2,9.99296979793247
official checkout,2,1,1,13.484822894262146
checkin time,1,18,1,10.314897892819832
integral bathroon,1,1,1,14.484822894262146
terrible state,4,3,1,10.899860393540989
poor state,4,3,1,10.899860393540989
weird thing,2,12,1,9.899860393540989
electric chock,4,1,1,12.484822894262146
bad wireing,14,2,1,9.677467972204541
late check,1,6,1,11.899860393540989
electric problem,4,4,1,10.484822894262146
faulty wireing,1,2,1,13.484822894262146
such wireing,2,2,1,12.484822894262146
such information,2,2,1,12.484822894262146
common reas,4,1,1,12.484822894262146
free drink,9,8,5,10.636825987707196
loft room,3,100,1,6.256004203766265
birthday package,2,1,1,13.484822894262146
couldn t,1,8,1,11.484822894262146
disappointing stay,2,6,1,10.899860393540989
birthday weekend,2,1,1,13.484822894262146
differernt floor,1,22,1,10.025391275624848
good sound,21,2,1,9.092505471483385
web page,1,1,1,14.484822894262146
noise disturbance,2,1,1,13.484822894262146
also air,5,8,1,9.162894799374783
general cleanliness,3,1,1,12.899860393540989
old food,9,2,1,10.314897892819832
steep staircase,9,6,4,10.729935392098676
girl working,1,1,1,14.484822894262146
